NÚMERO;DESCRIPCIÓN;SEDE;CIUDAD; PRECIO VENTA 
EKG-1;ELECTROCARDIOGRAMA;;ACACIAS;54.300
EKG-1;ELECTROCARDIOGRAMA;;AGUACHICA;43.700
EKG-1;ELECTROCARDIOGRAMA;;APARTADO;71.000
EKG-1;ELECTROCARDIOGRAMA;;ARAUCA;66.200
EKG-1;ELECTROCARDIOGRAMA;;ARMENIA;58.450
EKG-1;ELECTROCARDIOGRAMA;;BARRANCABERMEJA;40.200
EKG-1;ELECTROCARDIOGRAMA;;BARRANQUILLA II;47.100
EKG-1;ELECTROCARDIOGRAMA;;BUCARAMANGA 3;43.500
EKG-1;ELECTROCARDIOGRAMA;;BUENAVENTURA;144.000
EKG-1;ELECTROCARDIOGRAMA;;BUGA;64.350
EKG-1;ELECTROCARDIOGRAMA;;CAJICA;46.400
EKG-1;ELECTROCARDIOGRAMA;;CARTAGENA;47.100
EKG-1;ELECTROCARDIOGRAMA;;CARTAGO;86.900
EKG-1;ELECTROCARDIOGRAMA;;CAUCASIA;76.750
EKG-1;ELECTROCARDIOGRAMA;;CHIA;46.750
EKG-1;ELECTROCARDIOGRAMA;;CUCUTA;78.450
EKG-1;ELECTROCARDIOGRAMA;;DUITAMA;57.900
EKG-1;ELECTROCARDIOGRAMA;;ESPINAL;89.700
EKG-1;ELECTROCARDIOGRAMA;;FLORENCIA;50.250
EKG-1;ELECTROCARDIOGRAMA;;FUNZA II;46.650
EKG-1;ELECTROCARDIOGRAMA;;GIRARDOT;58.700
EKG-1;ELECTROCARDIOGRAMA;;IBAGUE;52.700
EKG-1;ELECTROCARDIOGRAMA;;IPIALES I;56.000
EKG-1;ELECTROCARDIOGRAMA;;LETICIA;43.100
EKG-1;ELECTROCARDIOGRAMA;;MADRID II;46.650
EKG-1;ELECTROCARDIOGRAMA;;MANIZALES 3;47.300
EKG-1;ELECTROCARDIOGRAMA;;MANIZALES 3;47.300
EKG-1;ELECTROCARDIOGRAMA;;MONTELIBANO;76.750
EKG-1;ELECTROCARDIOGRAMA;;MONTERIA;111.650
EKG-1;ELECTROCARDIOGRAMA;;MOSQUERA;65.200
EKG-1;ELECTROCARDIOGRAMA;;NEIVA;45.400
EKG-1;ELECTROCARDIOGRAMA;;OCAÑA;46.750
EKG-1;ELECTROCARDIOGRAMA;;PASTO;66.900
EKG-1;ELECTROCARDIOGRAMA;;PEREIRA;59.600
EKG-1;ELECTROCARDIOGRAMA;;PITALITO;41.700
EKG-1;ELECTROCARDIOGRAMA;;PLANETA RICA;78.350
EKG-1;ELECTROCARDIOGRAMA;;POPAYAN;71.050
EKG-1;ELECTROCARDIOGRAMA;;PUERTO ASIS;55.400
EKG-1;ELECTROCARDIOGRAMA;;PUERTO BERRIO;66.600
EKG-1;ELECTROCARDIOGRAMA;;QUIBDO;111.650
EKG-1;ELECTROCARDIOGRAMA;;RIOHACHA;71.550
EKG-1;ELECTROCARDIOGRAMA;;SAN GIL;48.250
EKG-1;ELECTROCARDIOGRAMA;;SANTA MARTA;36.400
EKG-1;ELECTROCARDIOGRAMA;;SANTAFE DE ANTIOQUIA;54.500
EKG-1;ELECTROCARDIOGRAMA;;SEGOVIA;91.400
EKG-1;ELECTROCARDIOGRAMA;;SINCELEJO;51.950
EKG-1;ELECTROCARDIOGRAMA;;SOACHA;49.300
EKG-1;ELECTROCARDIOGRAMA;;SOGAMOSO;78.400
EKG-1;ELECTROCARDIOGRAMA;;SOLEDAD;21.200
EKG-1;ELECTROCARDIOGRAMA;;TOCANCIPA;65.300
EKG-1;ELECTROCARDIOGRAMA;;TULUA;71.100
EKG-1;ELECTROCARDIOGRAMA;;TUNJA;60.000
EKG-1;ELECTROCARDIOGRAMA;;VALLEDUPAR;45.050
EKG-1;ELECTROCARDIOGRAMA;;VILLAVICENCIO;46.750
EKG-1;ELECTROCARDIOGRAMA;;YOPAL;69.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;ACACIAS;30.550
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;AGUACHICA;24.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;APARTADO;46.800
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;ARAUCA;39.350
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;ARMENIA;43.600
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BARBOSA SANTANDER;40.750
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BARRANCABERMEJA;21.900
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BARRANQUILLA II;23.150
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BUCARAMANGA 3;22.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BUENAVENTURA;47.700
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;BUGA;26.500
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CAJICA;29.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CARTAGENA;23.200
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CARTAGO;30.450
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CAUCASIA;37.650
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CHIA;34.450
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;CUCUTA;30.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;DUITAMA;26.650
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;ESPINAL;35.950
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;FLORENCIA;35.100
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;FUNZA II;29.700
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;GIRARDOT;32.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;IBAGUE;29.150
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;INIRIDA;113.150
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;IPIALES I;32.450
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;LETICIA;58.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;LORICA;37.600
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MADRID II;29.700
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MANIZALES 3;23.250
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MITU;82.900
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MONTELIBANO;37.650
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MONTERIA;26.650
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;MOSQUERA;34.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;NEIVA;32.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;OCAÑA;45.050
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PASTO;34.450
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PEREIRA;27.500
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PITALITO;31.950
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PLANETA RICA;40.200
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;POPAYAN;35.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PUERTO ASIS;52.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PUERTO BERRIO;34.600
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PUERTO CARREÑO;77.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PUERTO GAITAN;22.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;PUERTO TEJADA;37.600
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;QUIBDO;62.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;RIOHACHA;36.400
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SAN ANDRES- ISLA;46.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SAN GIL;27.200
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SAN JOSE DEL GUAVIARE;67.250
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SANTA MARTA;24.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SANTAFE DE ANTIOQUIA;48.800
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SEGOVIA;40.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SINCELEJO;37.950
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SOACHA;31.200
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SOGAMOSO;39.300
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;SOLEDAD;17.500
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;TOCANCIPA;31.100
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;TULUA;32.800
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;TUMACO;45.100
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;TUNJA;26.700
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;TURBO;30.350
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;VALLEDUPAR;25.900
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;VILLAVICENCIO;32.000
FN-1;EXAMEN DE AUDIOMETRIA TONAL;;YOPAL;28.900
FN-2;EXAMEN DE AUDIOMETRIA CLINICA;;ACACIAS;86.000
FN-2;EXAMEN DE AUDIOMETRIA CLINICA;;APARTADO;57.100
